2021-09-08 11:34:19 INFO Collected 50 ID in genre COMEDY, rank 351-401
2021-09-08 11:34:20 INFO Collected 50 ID in genre COMEDY, rank 401-451
2021-09-08 11:34:22 INFO Collected 50 ID in genre COMEDY, rank 451-501
2021-09-08 11:34:25 INFO Collected 50 ID in genre COMEDY, rank 501-551
2021-09-08 11:34:26 INFO Collected 50 ID in genre COMEDY, rank 551-601
2021-09-08 11:34:28 INFO Collected 50 ID in genre COMEDY, rank 601-651
2021-09-08 11:34:31 INFO Collected 50 ID in genre COMEDY, rank 651-701
2021-09-08 11:34:32 INFO Collected 50 ID in genre COMEDY, rank 701-751
2021-09-08 11:34:34 INFO Collected 50 ID in genre COMEDY, rank 751-801
2021-09-08 11:34:37 INFO Collected 50 ID in genre COMEDY, rank 801-851
2021-09-08 11:34:38 INFO Collected 50 ID in genre COMEDY, rank 851-901
2021-09-08 11:34:40 INFO Collected 50 ID in genre COMEDY, rank 901-951
2021-09-08 11:34:42 INFO Collected 50 ID in genre COMEDY, rank 951-1001
2021-09-08 11:34:43 INFO Collected 1000 ID in COMEDY genre
2021-09-08 11:34:48 INFO Collected 50 ID in genre CRIME, rank 1-51
2021-09-08 11:34:49 INFO Collected 50 ID in genre CRIME, rank 51-101
2021-09-08 11:34:51 INFO Collected 50 ID in genre CRIME, rank 101-151
2021-09-08 11:34:53 INFO Collected 50 ID in genre CRIME, rank 151-201
2021-09-08 11:34:55 INFO Collected 50 ID in genre CRIME, rank 201-251
2021-09-08 11:34:57 INFO Collected 50 ID in genre CRIME, rank 251-301
2021-09-08 11:34:59 INFO Collected 50 ID in genre CRIME, rank 301-351
2021-09-08 11:35:00 INFO Collected 50 ID in genre CRIME, rank 351-401
2021-09-08 11:35:02 INFO Collected 50 ID in genre CRIME, rank 401-451
2021-09-08 11:35:04 INFO Collected 50 ID in genre CRIME, rank 451-501
2021-09-08 11:35:05 INFO Collected 50 ID in genre CRIME, rank 501-551
2021-09-08 11:35:07 INFO Collected 50 ID in genre CRIME, rank 551-601
2021-09-08 11:35:09 INFO Collected 50 ID in genre CRIME, rank 601-651
2021-09-08 11:35:11 INFO Collected 50 ID in genre CRIME, rank 651-701
2021-09-08 11:35:14 INFO Collected 50 ID in genre CRIME, rank 701-751
2021-09-08 11:35:16 INFO Collected 50 ID in genre CRIME, rank 751-801
2021-09-08 11:35:17 INFO Collected 50 ID in genre CRIME, rank 801-851
2021-09-08 11:35:20 INFO Collected 50 ID in genre CRIME, rank 851-901
2021-09-08 11:35:21 INFO Collected 50 ID in genre CRIME, rank 901-951
2021-09-08 11:35:23 INFO Collected 50 ID in genre CRIME, rank 951-1001
2021-09-08 11:35:24 INFO Collected 1000 ID in CRIME genre
2021-09-08 11:35:29 INFO Collected 50 ID in genre DRAMA, rank 1-51
2021-09-08 11:35:31 INFO Collected 50 ID in genre DRAMA, rank 51-101
2021-09-08 11:35:33 INFO Collected 50 ID in genre DRAMA, rank 101-151
2021-09-08 11:35:34 INFO Collected 50 ID in genre DRAMA, rank 151-201
2021-09-08 11:35:36 INFO Collected 50 ID in genre DRAMA, rank 201-251
2021-09-08 11:35:39 INFO Collected 50 ID in genre DRAMA, rank 251-301
2021-09-08 11:35:41 INFO Collected 50 ID in genre DRAMA, rank 301-351
2021-09-08 11:35:43 INFO Collected 50 ID in genre DRAMA, rank 351-401
2021-09-08 11:35:45 INFO Collected 50 ID in genre DRAMA, rank 401-451
2021-09-08 11:35:47 INFO Collected 50 ID in genre DRAMA, rank 451-501
2021-09-08 11:35:49 INFO Collected 50 ID in genre DRAMA, rank 501-551
2021-09-08 11:35:51 INFO Collected 50 ID in genre DRAMA, rank 551-601
2021-09-08 11:35:53 INFO Collected 50 ID in genre DRAMA, rank 601-651
2021-09-08 11:35:55 INFO Collected 50 ID in genre DRAMA, rank 651-701
2021-09-08 11:35:56 INFO Collected 50 ID in genre DRAMA, rank 701-751
2021-09-08 11:35:58 INFO Collected 50 ID in genre DRAMA, rank 751-801
2021-09-08 11:36:00 INFO Collected 50 ID in genre DRAMA, rank 801-851
2021-09-08 11:36:02 INFO Collected 50 ID in genre DRAMA, rank 851-901
2021-09-08 11:36:04 INFO Collected 50 ID in genre DRAMA, rank 901-951
2021-09-08 11:36:06 INFO Collected 50 ID in genre DRAMA, rank 951-1001
2021-09-08 11:36:07 INFO Collected 1000 ID in DRAMA genre
2021-09-08 11:36:11 INFO Collected 50 ID in genre FAMILY, rank 1-51
2021-09-08 11:36:13 INFO Collected 50 ID in genre FAMILY, rank 51-101
2021-09-08 11:36:15 INFO Collected 50 ID in genre FAMILY, rank 101-151
2021-09-08 11:36:17 INFO Collected 50 ID in genre FAMILY, rank 151-201
2021-09-08 11:36:19 INFO Collected 50 ID in genre FAMILY, rank 201-251
2021-09-08 11:36:20 INFO Collected 50 ID in genre FAMILY, rank 251-301
2021-09-08 11:36:22 INFO Collected 50 ID in genre FAMILY, rank 301-351
2021-09-08 11:36:25 INFO Collected 50 ID in genre FAMILY, rank 351-401
2021-09-08 11:36:27 INFO Collected 50 ID in genre FAMILY, rank 401-451
2021-09-08 11:36:29 INFO Collected 50 ID in genre FAMILY, rank 451-501
2021-09-08 11:36:31 INFO Collected 50 ID in genre FAMILY, rank 501-551
2021-09-08 11:36:33 INFO Collected 50 ID in genre FAMILY, rank 551-601
2021-09-08 11:36:35 INFO Collected 50 ID in genre FAMILY, rank 601-651
2021-09-08 11:36:36 INFO Collected 50 ID in genre FAMILY, rank 651-701
2021-09-08 11:36:38 INFO Collected 50 ID in genre FAMILY, rank 701-751
2021-09-08 11:36:40 INFO Collected 50 ID in genre FAMILY, rank 751-801
2021-09-08 11:36:42 INFO Collected 50 ID in genre FAMILY, rank 801-851
2021-09-08 11:36:44 INFO Collected 50 ID in genre FAMILY, rank 851-901
2021-09-08 11:36:46 INFO Collected 50 ID in genre FAMILY, rank 901-951
2021-09-08 11:36:48 INFO Collected 50 ID in genre FAMILY, rank 951-1001
2021-09-08 11:36:49 INFO Collected 1000 ID in FAMILY genre
2021-09-08 11:36:54 INFO Collected 50 ID in genre FANTASY, rank 1-51
2021-09-08 11:36:55 INFO Collected 50 ID in genre FANTASY, rank 51-101
2021-09-08 11:36:57 INFO Collected 50 ID in genre FANTASY, rank 101-151
2021-09-08 11:37:00 INFO Collected 50 ID in genre FANTASY, rank 151-201
2021-09-08 11:37:02 INFO Collected 50 ID in genre FANTASY, rank 201-251
2021-09-08 11:37:03 INFO Collected 50 ID in genre FANTASY, rank 251-301
2021-09-08 11:37:05 INFO Collected 50 ID in genre FANTASY, rank 301-351
2021-09-08 11:37:07 INFO Collected 50 ID in genre FANTASY, rank 351-401
2021-09-08 11:37:09 INFO Collected 50 ID in genre FANTASY, rank 401-451
2021-09-08 11:37:11 INFO Collected 50 ID in genre FANTASY, rank 451-501
2021-09-08 11:37:12 INFO Collected 50 ID in genre FANTASY, rank 501-551
2021-09-08 11:37:15 INFO Collected 50 ID in genre FANTASY, rank 551-601
2021-09-08 11:37:17 INFO Collected 50 ID in genre FANTASY, rank 601-651
2021-09-08 11:37:20 INFO Collected 50 ID in genre FANTASY, rank 651-701
2021-09-08 11:37:22 INFO Collected 50 ID in genre FANTASY, rank 701-751
2021-09-08 11:37:24 INFO Collected 50 ID in genre FANTASY, rank 751-801
2021-09-08 11:37:26 INFO Collected 50 ID in genre FANTASY, rank 801-851
2021-09-08 11:37:27 INFO Collected 50 ID in genre FANTASY, rank 851-901
2021-09-08 11:37:29 INFO Collected 50 ID in genre FANTASY, rank 901-951
2021-09-08 11:37:31 INFO Collected 50 ID in genre FANTASY, rank 951-1001
2021-09-08 11:37:32 INFO Collected 1000 ID in FANTASY genre
2021-09-08 11:37:37 INFO Collected 50 ID in genre FILM_NOIR, rank 1-51
2021-09-08 11:37:39 INFO Collected 50 ID in genre FILM_NOIR, rank 51-101
2021-09-08 11:37:41 INFO Collected 50 ID in genre FILM_NOIR, rank 101-151
2021-09-08 11:37:43 INFO Collected 50 ID in genre FILM_NOIR, rank 151-201
2021-09-08 11:37:46 INFO Collected 50 ID in genre FILM_NOIR, rank 201-251
2021-09-08 11:37:48 INFO Collected 50 ID in genre FILM_NOIR, rank 251-301
2021-09-08 11:37:51 INFO Collected 50 ID in genre FILM_NOIR, rank 301-351
2021-09-08 11:37:53 INFO Collected 50 ID in genre FILM_NOIR, rank 351-401
2021-09-08 11:37:56 INFO Collected 50 ID in genre FILM_NOIR, rank 401-451
2021-09-08 11:37:59 INFO Collected 50 ID in genre FILM_NOIR, rank 451-501
2021-09-08 11:38:01 INFO Collected 50 ID in genre FILM_NOIR, rank 501-551
2021-09-08 11:38:04 INFO Collected 50 ID in genre FILM_NOIR, rank 551-601
2021-09-08 11:38:09 INFO Collected 50 ID in genre FILM_NOIR, rank 601-651
2021-09-08 11:38:11 INFO Collected 50 ID in genre FILM_NOIR, rank 651-701
2021-09-08 11:38:14 INFO Collected 50 ID in genre FILM_NOIR, rank 701-751
2021-09-08 11:38:18 INFO Collected 50 ID in genre FILM_NOIR, rank 751-801
2021-09-08 11:38:19 INFO Collected 20 ID in genre FILM_NOIR, rank 801-851
2021-09-08 11:38:20 INFO Collected 820 ID in FILM_NOIR genre
2021-09-08 11:38:24 INFO Collected 50 ID in genre HISTORY, rank 1-51
2021-09-08 11:38:26 INFO Collected 50 ID in genre HISTORY, rank 51-101
2021-09-08 11:38:29 INFO Collected 50 ID in genre HISTORY, rank 101-151
2021-09-08 11:38:30 INFO Collected 50 ID in genre HISTORY, rank 151-201
2021-09-08 11:38:32 INFO Collected 50 ID in genre HISTORY, rank 201-251
2021-09-08 11:38:34 INFO Collected 50 ID in genre HISTORY, rank 251-301
2021-09-08 11:38:36 INFO Collected 50 ID in genre HISTORY, rank 301-351
2021-09-08 11:38:38 INFO Collected 50 ID in genre HISTORY, rank 351-401
2021-09-08 11:38:40 INFO Collected 50 ID in genre HISTORY, rank 401-451
2021-09-08 11:38:42 INFO Collected 50 ID in genre HISTORY, rank 451-501
2021-09-08 11:38:45 INFO Collected 50 ID in genre HISTORY, rank 501-551
2021-09-08 11:38:47 INFO Collected 50 ID in genre HISTORY, rank 551-601
2021-09-08 11:38:49 INFO Collected 50 ID in genre HISTORY, rank 601-651
2021-09-08 11:38:51 INFO Collected 50 ID in genre HISTORY, rank 651-701
2021-09-08 11:38:53 INFO Collected 50 ID in genre HISTORY, rank 701-751
2021-09-08 11:38:55 INFO Collected 50 ID in genre HISTORY, rank 751-801
2021-09-08 11:38:58 INFO Collected 50 ID in genre HISTORY, rank 801-851
2021-09-08 11:39:00 INFO Collected 50 ID in genre HISTORY, rank 851-901
2021-09-08 11:39:03 INFO Collected 50 ID in genre HISTORY, rank 901-951
2021-09-08 11:39:05 INFO Collected 50 ID in genre HISTORY, rank 951-1001
2021-09-08 11:39:06 INFO Collected 1000 ID in HISTORY genre
2021-09-08 11:39:11 INFO Collected 50 ID in genre HORROR, rank 1-51
2021-09-08 11:39:13 INFO Collected 50 ID in genre HORROR, rank 51-101
2021-09-08 11:39:15 INFO Collected 50 ID in genre HORROR, rank 101-151
2021-09-08 11:39:16 INFO Collected 50 ID in genre HORROR, rank 151-201
2021-09-08 11:39:18 INFO Collected 50 ID in genre HORROR, rank 201-251
2021-09-08 11:39:20 INFO Collected 50 ID in genre HORROR, rank 251-301
2021-09-08 11:39:22 INFO Collected 50 ID in genre HORROR, rank 301-351
2021-09-08 11:39:24 INFO Collected 50 ID in genre HORROR, rank 351-401
2021-09-08 11:39:26 INFO Collected 50 ID in genre HORROR, rank 401-451
2021-09-08 11:39:27 INFO Collected 50 ID in genre HORROR, rank 451-501
2021-09-08 11:39:29 INFO Collected 50 ID in genre HORROR, rank 501-551
2021-09-08 11:39:31 INFO Collected 50 ID in genre HORROR, rank 551-601
2021-09-08 11:39:33 INFO Collected 50 ID in genre HORROR, rank 601-651
2021-09-08 11:39:35 INFO Collected 50 ID in genre HORROR, rank 651-701
2021-09-08 11:39:37 INFO Collected 50 ID in genre HORROR, rank 701-751
2021-09-08 11:39:39 INFO Collected 50 ID in genre HORROR, rank 751-801
2021-09-08 11:39:41 INFO Collected 50 ID in genre HORROR, rank 801-851
2021-09-08 11:39:42 INFO Collected 50 ID in genre HORROR, rank 851-901
2021-09-08 11:39:44 INFO Collected 50 ID in genre HORROR, rank 901-951
2021-09-08 11:39:46 INFO Collected 50 ID in genre HORROR, rank 951-1001
2021-09-08 11:39:47 INFO Collected 1000 ID in HORROR genre
2021-09-08 11:39:52 INFO Collected 50 ID in genre MUSIC, rank 1-51
2021-09-08 11:39:53 INFO Collected 50 ID in genre MUSIC, rank 51-101
2021-09-08 11:39:55 INFO Collected 50 ID in genre MUSIC, rank 101-151
2021-09-08 11:39:57 INFO Collected 50 ID in genre MUSIC, rank 151-201
2021-09-08 11:39:59 INFO Collected 50 ID in genre MUSIC, rank 201-251
2021-09-08 11:40:01 INFO Collected 50 ID in genre MUSIC, rank 251-301
2021-09-08 11:40:03 INFO Collected 50 ID in genre MUSIC, rank 301-351
2021-09-08 11:40:05 INFO Collected 50 ID in genre MUSIC, rank 351-401
2021-09-08 11:40:07 INFO Collected 50 ID in genre MUSIC, rank 401-451
